Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
SUSD4		1	1	1049	<0.1%	No
CTSL		1	1	1049	<0.1%	No
ENOX1		1	1	1049	<0.1%	No
GPR20		2	2	1049	0.2%	No
PDPR		1	1	1049	<0.1%	No
FBXL18		1	1	1049	<0.1%	No
NANOGNB		1	1	1049	<0.1%	No
LPAR4		2	2	1049	0.2%	No
WASH4P		4	4	1049	0.4%	No
MUC21		1	1	1049	<0.1%	No
TOMM20L		1	1	1049	<0.1%	No
KLHL13		1	1	1049	<0.1%	No
CUX1		1	1	196	0.5%	Yes
AHNAK		1	1	1049	<0.1%	No
GPER1		1	1	1049	<0.1%	No
SPATA5L1		1	1	1049	<0.1%	No
GPR27		1	1	1049	<0.1%	No
GRK6		1	1	1049	<0.1%	No
ARGLU1		1	1	1049	<0.1%	No
MADCAM1		2	2	1049	0.2%	No
ALG8		1	1	1049	<0.1%	No
TGIF2		1	1	1049	<0.1%	No
CCDC186		1	1	1049	<0.1%	No
MED9		1	1	1049	<0.1%	No
KRTAP10-9		1	1	1049	<0.1%	No
KRTAP10-11		1	1	1049	<0.1%	No
RAP1B		1	1	1049	<0.1%	No
GPS1		1	1	1049	<0.1%	No
RAP1GAP		2	2	1049	0.2%	No
KRTAP10-4		1	1	1049	<0.1%	No
MKNK2		2	2	723	0.3%	No
CYLD		8	8	739	1.1%	Yes
KRTAP10-6		4	4	1049	0.4%	No
RALGDS		1	1	196	0.5%	Yes
SEMA6D		1	1	1049	<0.1%	No
CYP2A7		1	1	1049	<0.1%	No
GPX4		2	1	1049	<0.1%	No
RANBP2		22	22	723	3.0%	Yes
IL17F		1	1	1049	<0.1%	No
GRIA2		1	1	1049	<0.1%	No
SRPK3		2	2	1049	0.2%	No
GCSAM		1	1	1049	<0.1%	No
CYP3A43		1	1	1049	<0.1%	No
C1ORF50		1	1	1049	<0.1%	No
MKKS		1	1	1049	<0.1%	No
RARB		1	1	1049	<0.1%	No
CYP2C19		1	1	216	0.5%	No
RARG		1	1	1049	<0.1%	No
GRB7		1	1	1049	<0.1%	No
CYP2A13		1	1	1049	<0.1%	No
RAP1GDS1		1	1	196	0.5%	Yes
RARA		9	9	1021	0.9%	Yes
CEP120		1	1	1049	<0.1%	No
KDM5A		13	13	998	1.3%	Yes
BACH2		1	1	1049	<0.1%	Yes
CYP2D6		5	4	920	0.4%	No
KRTAP4-7		2	2	1049	0.2%	No
CKAP2		1	1	1049	<0.1%	No
RASA1	0	7	7	291	2.4%	Yes
RB1		13	13	1049	1.2%	Yes
CYP11A1		3	3	1049	0.3%	No
MAP1S		2	2	1049	0.2%	No
MYBPC3		1	1	1049	<0.1%	No
MYBPH		1	1	1049	<0.1%	No
C1ORF141		1	1	1049	<0.1%	No
MYC		9	9	1049	0.9%	Yes
MBD3L2		1	1	1049	<0.1%	No
SBNO1		2	2	1049	0.2%	No
MYB		4	3	824	0.4%	Yes
RBL1		1	1	1049	<0.1%	No
MYBL1		2	2	1049	0.2%	No
MYBPC1		1	1	1049	<0.1%	No
NCAPG		1	1	1049	<0.1%	No
TRMT61A		1	1	1049	<0.1%	No
ERAP2		2	2	1049	0.2%	No
CYP27A1		1	1	1049	<0.1%	No
ALPK2		1	1	1049	<0.1%	No
RBP3		2	2	1049	0.2%	No
MYH1		5	2	1049	0.2%	No
ZNF790		1	1	1049	<0.1%	No
CYP17A1		1	1	897	0.1%	Yes
FANCI		9	9	897	1.0%	No
RTL4		1	1	1049	<0.1%	No
MYCL		7	7	1021	0.7%	Yes
MYCN		8	8	1021	0.8%	Yes
KATNB1		1	1	1049	<0.1%	No
MYD88		2	2	998	0.2%	Yes
ACER1		2	2	1049	0.2%	No
RDH5		1	1	1049	<0.1%	No
KLHDC8A		1	1	1049	<0.1%	No
MYH2		1	1	1049	<0.1%	No
MYH4		1	1	1049	<0.1%	No
PANK4		1	1	1049	<0.1%	No
MUC19		10	3	1049	0.3%	No
MYH6		1	1	1049	<0.1%	No
C12ORF40		2	2	1049	0.2%	No
MYH9		2	2	196	1.0%	Yes
EPHA6		13	10	746	1.3%	No
MYO1C		2	2	1049	0.2%	No
COX6B2		1	1	1049	<0.1%	No
BUB1B		2	2	1049	0.2%	Yes
MYL4		1	1	1049	<0.1%	No
REL		1	1	995	0.1%	Yes
HECTD4		2	2	1049	0.2%	No
DCAF12L2		1	1	1049	<0.1%	No
HSPA4		1	1	1049	<0.1%	No
MYLK		1	1	1049	<0.1%	No
RFC1		1	1	1049	<0.1%	No
IGSF3		1	1	1049	<0.1%	No
KRTAP5-1		1	1	1049	<0.1%	No
HSP90AA1		9	9	749	1.2%	Yes
CYP4F22		1	1	1049	<0.1%	No
TOGARAM2		1	1	1049	<0.1%	No
CHD9		2	2	1049	0.2%	No
PACC1		1	1	1049	<0.1%	No
SERPING1		1	1	1049	<0.1%	No
MOB2		1	1	1049	<0.1%	No
DNAJC18		2	2	1049	0.2%	No
RENBP		1	1	1049	<0.1%	No
MYO5A		2	2	1049	0.2%	Yes
MYO5B		2	2	1049	0.2%	No
MYO6		1	1	1049	<0.1%	No
DPF2		1	1	1049	<0.1%	No
MYO7A		2	2	1049	0.2%	No
REST		1	1	1049	<0.1%	Yes
AGO2		1	1	209	0.5%	Yes
MYO7B		3	3	1049	0.3%	No
RET		23	23	1021	2.3%	Yes
MYO9A		2	2	1049	0.2%	No
MYT1		1	1	1049	<0.1%	No
VWA5B1		4	4	1049	0.4%	No
ELF4		1	1	196	0.5%	Yes
ASXL2		2	2	291	0.7%	Yes
ALG10B		1	1	1049	<0.1%	No
SLC39A1		1	1	1049	<0.1%	No
TCF23		1	1	1049	<0.1%	No
C4BPA		2	2	1049	0.2%	No
MYOD1		1	1	291	0.3%	Yes
RFX1		1	1	1049	<0.1%	No
NAA50		1	1	1049	<0.1%	No
YIPF5		1	1	1049	<0.1%	No
HSPG2		5	5	1049	0.5%	No
PALD1		1	1	1049	<0.1%	No
CTAGE15		1	1	1049	<0.1%	No
CYRIA		1	1	1049	<0.1%	No
FILIP1		1	1	1049	<0.1%	No
NAB2		1	1	1049	<0.1%	Yes
NBN		17	15	995	1.5%	Yes
NCAM2		1	1	1049	<0.1%	No
PROSER1		1	1	1049	<0.1%	No
HTR1D		1	1	1049	<0.1%	No
BRPF3		1	1	1049	<0.1%	No
FGGY		1	1	1049	<0.1%	No
CTTN		1	1	1049	<0.1%	No
VPS53		2	1	1049	<0.1%	No
ZNHIT2		1	1	1049	<0.1%	No
ADGRE1		1	1	1049	<0.1%	No
BPIFB4		3	3	1049	0.3%	No
KRTAP5-4		1	1	1049	<0.1%	No
NAP1L3		1	1	1049	<0.1%	No
DAGLA		2	2	1049	0.2%	No
ZNF143		1	1	1049	<0.1%	No
MORN5		1	1	1049	<0.1%	No
NEXMIF		1	1	1049	<0.1%	No
ZBTB16		1	1	196	0.5%	Yes
KLHDC7A		1	1	1049	<0.1%	No
NDUFA3		1	1	1049	<0.1%	No
EP300	9.769e-3	81	74	998	7.4%	Yes
HTR7		1	1	1049	<0.1%	No
HTR6		1	1	1049	<0.1%	No
ZNF384		1	1	196	0.5%	Yes
NHSL2		1	1	1049	<0.1%	No
CDAN1		1	1	1049	<0.1%	No
ENPEP		1	1	1049	<0.1%	No
HTR3A		1	1	1049	<0.1%	No
FMNL1		2	2	1049	0.2%	No
ENO3		1	1	1049	<0.1%	No
NCBP1		1	1	1049	<0.1%	No
KLHDC4		1	1	1049	<0.1%	No
IL17RD		2	2	1049	0.2%	No
CA1		1	1	1049	<0.1%	No
EPHA7		7	7	819	0.9%	Yes
EPHA5		14	13	1021	1.3%	Yes
EPHA3		19	19	1021	1.9%	Yes
STOM		1	1	1049	<0.1%	No
DMTN		1	1	1049	<0.1%	No
EPB41L1		1	1	1049	<0.1%	No
BTN3A3		1	1	1049	<0.1%	No
HYDIN		1	1	1049	<0.1%	No
ADAMTS14		2	2	1049	0.2%	No
SYCP2		2	1	1049	<0.1%	No
ABCA9		1	1	1049	<0.1%	No
ICAM4		1	1	1049	<0.1%	No
EPHB6		14	14	746	1.9%	No
ICA1		1	1	1049	<0.1%	No
EPHB4		10	10	746	1.3%	Yes
AMER3		3	1	1049	<0.1%	No
CACNA1B		2	2	1049	0.2%	No
EPHB3		1	1	1049	<0.1%	No
CACNA1C		1	1	1049	<0.1%	No
EPHB2		1	1	1049	<0.1%	No
CACNA1D		2	2	1049	0.2%	Yes
EPHB1		17	17	1021	1.7%	Yes
SLC9A4		1	1	1049	<0.1%	No
EPHA8		1	1	1049	<0.1%	No
SELP		1	1	1049	<0.1%	No
WARS2		1	1	1049	<0.1%	No
ACY3		1	1	1049	<0.1%	No
SEMA3F		1	1	1049	<0.1%	No
RNF111		3	3	1049	0.3%	No
CFAP46		2	2	1049	0.2%	No
SEMG1		1	1	1049	<0.1%	No
RNF113A		2	1	1049	<0.1%	No
ZNF185		1	1	1049	<0.1%	No
CCAR2		2	2	1049	0.2%	No
ZMYM2		1	1	196	0.5%	Yes
ERICH6		1	1	1049	<0.1%	No
ERBB4		8	8	1021	0.8%	Yes
STX12		1	1	1049	<0.1%	No
ERBB3		8	8	1021	0.8%	Yes
MRPL58		1	1	1049	<0.1%	No
ERBB2		12	12	1021	1.2%	Yes
RTKN2		1	1	1049	<0.1%	No
SH3BP4		1	1	1049	<0.1%	No
DDR1		9	9	723	1.2%	Yes
CACNB3		1	1	1049	<0.1%	No
SELENOP		1	1	1049	<0.1%	No
MAP2K4		3	3	1021	0.3%	Yes
ASXL1		25	25	998	2.5%	Yes
CACNG3		1	1	1049	<0.1%	No
ZNF213		1	1	1049	<0.1%	No
MAGEF1		1	1	1049	<0.1%	No
VSIR		1	1	1049	<0.1%	No
ZNF217		13	13	900	1.4%	Yes
ERG		3	3	1021	0.3%	Yes
SLC39A8		1	1	1049	<0.1%	No
TET2		23	21	1021	2.1%	Yes
EDC4		1	1	1049	<0.1%	No
PRSS38		1	1	1049	<0.1%	No
ERCC4		16	16	821	1.9%	Yes
DEFB106B		1	1	1049	<0.1%	No
CALB1		1	1	1049	<0.1%	No
KCTD9		1	1	1049	<0.1%	No
ZNF880		2	2	1049	0.2%	No
SLAMF7		2	2	1049	0.2%	No
CALCA		1	1	1049	<0.1%	No
CALCR		2	2	1049	0.2%	No
ERCC2		5	5	1018	0.5%	Yes
IRAG1		3	3	1049	0.3%	No
ZNF112		1	1	1049	<0.1%	No
ADGRL4		1	1	1049	<0.1%	No
PLXNB2		1	1	1049	<0.1%	No
KRTAP5-8		1	1	1049	<0.1%	No
ZNF223		1	1	1049	<0.1%	No
IZUMO4		1	1	1049	<0.1%	No
PCK2		1	1	1049	<0.1%	No
PKDREJ		1	1	1049	<0.1%	No
ACTRT1		1	1	1049	<0.1%	No
PCM1		1	1	196	0.5%	Yes
TRDN		1	1	1049	<0.1%	No
ABCA7		1	1	1049	<0.1%	No
PRND		1	1	1049	<0.1%	No
SH3BGRL		1	1	1049	<0.1%	No
XYLT2		1	1	1049	<0.1%	No
PCSK1		1	1	1049	<0.1%	No
ITSN1		2	2	1049	0.2%	No
ZNF804A		1	1	1049	<0.1%	No
ESR1		24	24	1021	2.4%	Yes
RUSC1		1	1	1049	<0.1%	No
NMUR1		1	1	1049	<0.1%	No
TNIP1		1	1	1049	<0.1%	No
MIDEAS		2	2	1049	0.2%	Yes
CHMP1A		1	1	1049	<0.1%	No
RABGAP1		2	1	1049	<0.1%	No
PTRH1		1	1	1049	<0.1%	No
AHNAK2		1	1	1049	<0.1%	No
ZSCAN29		2	2	1049	0.2%	No
CA14		1	1	1049	<0.1%	No
DNAJC12		2	2	1049	0.2%	No
CDK16		1	1	1049	<0.1%	No
IKZF1		3	3	1021	0.3%	Yes
GPR119		1	1	1049	<0.1%	No
KLHL41		1	1	1049	<0.1%	No
ZNF717		8	7	1049	0.7%	No
PDE3B		1	1	1049	<0.1%	No
PDE6A		1	1	1049	<0.1%	No
XIRP2		1	1	1049	<0.1%	No
TMBIM4		1	1	1049	<0.1%	No
PDE2A		2	1	1049	<0.1%	No
PDE3A		1	1	1049	<0.1%	No
PDE8A		1	1	1049	<0.1%	No
PDGFRA		11	11	1049	1.0%	Yes
PDK1		4	4	900	0.4%	Yes
AFMID		1	1	1049	<0.1%	No
SIX3		1	1	1049	<0.1%	No
ENPP2		1	1	1049	<0.1%	No
SIM1		2	2	1049	0.2%	No
STIL		1	1	1049	<0.1%	Yes
ZFR		1	1	1049	<0.1%	No
PDGFRB		18	17	1021	1.7%	Yes
STXBP5L		1	1	1049	<0.1%	No
NUB1		1	1	1049	<0.1%	No
ASB4		2	2	1049	0.2%	No
GDF5		1	1	1049	<0.1%	No
BAG4		1	1	1049	<0.1%	No
PEG3		1	1	1049	<0.1%	No
TBC1D16		2	2	1049	0.2%	No
AMTN		1	1	1049	<0.1%	No
BAG5		1	1	1049	<0.1%	No
GOSR1		1	1	1049	<0.1%	No
PDP1		1	1	1049	<0.1%	No
NRG2		1	1	1049	<0.1%	No
GATB		1	1	1049	<0.1%	No
LZTR1		8	8	723	1.1%	Yes
ARHGAP35		1	1	1049	<0.1%	Yes
TTLL10		1	1	1049	<0.1%	No
SUFU		4	4	1021	0.4%	Yes
APC2		1	1	1049	<0.1%	No
GRINA		1	1	1049	<0.1%	No
GRIN2D		1	1	1049	<0.1%	No
GRIN2B		3	3	1049	0.3%	No
GRIN2A		10	10	998	1.0%	Yes
GRIN1		2	1	1049	<0.1%	No
PEX10		1	1	1049	<0.1%	No
OR7E24		1	1	1049	<0.1%	No
RNF215		1	1	1049	<0.1%	No
NAA30		1	1	1049	<0.1%	No
UPK3B		1	1	1049	<0.1%	No
GRM6		1	1	1049	<0.1%	No
GRM4		1	1	1049	<0.1%	No
GRM3		9	9	723	1.2%	Yes
GRM2		1	1	1049	<0.1%	No
MINPP1		1	1	1049	<0.1%	No
USP11		1	1	1049	<0.1%	No
RGS7BP		1	1	1049	<0.1%	No
GTF2IRD1		1	1	1049	<0.1%	No
GTPBP1		1	1	1049	<0.1%	No
VPS26A		1	1	1049	<0.1%	No
SLC35F2		1	1	1049	<0.1%	No
KDM5C		8	8	998	0.8%	Yes
SMC1A		2	2	196	1.0%	Yes
ORC3		1	1	1049	<0.1%	No
OPN3		1	1	1049	<0.1%	No
PATZ1		1	1	1049	<0.1%	Yes
RBM10		14	14	821	1.7%	Yes
GSK3B		2	2	998	0.2%	Yes
DAB1		1	1	1049	<0.1%	No
USP9X		3	1	216	0.5%	No
LILRB2		2	2	1049	0.2%	No
CCDC180		1	1	1049	<0.1%	No
DGKA		1	1	1049	<0.1%	No
KIF20B		1	1	1049	<0.1%	No
WTAP		1	1	1049	<0.1%	No
INTS4		1	1	1049	<0.1%	No
ARHGEF10L		1	1	1049	<0.1%	No
SMC1B		1	1	1049	<0.1%	No
SHQ1		1	1	291	0.3%	Yes
DHX58		2	2	1049	0.2%	No
DKK4		1	1	1049	<0.1%	Yes
MSL2		1	1	1049	<0.1%	No
TMEM45B		1	1	1049	<0.1%	No
FOXD4L1		1	1	1049	<0.1%	No
NCAPH2		1	1	1049	<0.1%	No
RETREG2		1	1	1049	<0.1%	No
GSTA4		2	2	1049	0.2%	No
DERL1		1	1	1049	<0.1%	No
AFF4		1	1	196	0.5%	Yes
GSTM4		1	1	1049	<0.1%	No
DAXX		8	8	998	0.8%	Yes
MROH2B		2	2	1049	0.2%	No
MED30		1	1	1049	<0.1%	No
DNAAF2		1	1	1049	<0.1%	No
DBH		1	1	1049	<0.1%	No
INVS		1	1	1049	<0.1%	No
ZNF614		1	1	1049	<0.1%	No
MSH6		24	22	1021	2.2%	Yes
TMOD2		1	1	1049	<0.1%	No
DHX36		1	1	1049	<0.1%	No
DZANK1		1	1	1049	<0.1%	No
CFAP221		1	1	1049	<0.1%	No
FRAS1		1	1	1049	<0.1%	No
ZC3H12A		1	1	1049	<0.1%	No
OR2G2		1	1	1049	<0.1%	No
DCTN1		1	1	1049	<0.1%	Yes
LRRC26		1	1	1049	<0.1%	No
EPX		1	1	1049	<0.1%	No
ARID1A	1.354e-5	139	120	1049	11.4%	Yes
PBRM1		13	13	998	1.3%	Yes
LPIN3		1	1	1049	<0.1%	No
RANBP17		1	1	1049	<0.1%	No
GUCY1A2		4	3	216	1.4%	No
KRTAP13-4		1	1	1049	<0.1%	No
GTF3C1		1	1	1049	<0.1%	No
MROH9		1	1	1049	<0.1%	No
ZNF703		30	30	900	3.3%	Yes
ZKSCAN2		2	2	1049	0.2%	No
DCST1		1	1	1049	<0.1%	No
DHX9		1	1	1049	<0.1%	No
DYSF		4	4	1049	0.4%	No
TRRAP		17	16	897	1.8%	Yes
FBXL15		1	1	1049	<0.1%	No
DMXL1		1	1	1049	<0.1%	No
ITPRIPL2		3	2	1049	0.2%	No
DCDC1		1	1	1049	<0.1%	No
DDX3X		1	1	196	0.5%	Yes
ZC3H8		1	1	1049	<0.1%	No
PGGHG		1	1	1049	<0.1%	No
KRT73		1	1	1049	<0.1%	No
DTHD1		1	1	1049	<0.1%	No
LENG1		1	1	1049	<0.1%	No
LILRA6		2	2	1049	0.2%	No
BCL11B		1	1	196	0.5%	Yes
RTL3		1	1	1049	<0.1%	No
DDX11		5	5	1049	0.5%	No
NAA35		1	1	1049	<0.1%	No
ERGIC3		1	1	1049	<0.1%	No
EDC3		1	1	1049	<0.1%	No
CENPT		1	1	1049	<0.1%	No
OSR1		2	2	1049	0.2%	No
KIF19		2	2	1049	0.2%	No
DES		1	1	1049	<0.1%	No
FSD1		1	1	1049	<0.1%	No
LUC7L2		1	1	1049	<0.1%	No
SRRM4		1	1	1049	<0.1%	No
FREM1		1	1	1049	<0.1%	No
FIP1L1		2	2	367	0.5%	Yes
ATAD2		2	1	1049	<0.1%	No
NDUFS3		1	1	1049	<0.1%	No
NDUFV1		1	1	1049	<0.1%	No
TRIM39		1	1	1049	<0.1%	No
ODF3L2		1	1	1049	<0.1%	No
SYNJ2BP		1	1	1049	<0.1%	No
UNC13D		1	1	1049	<0.1%	No
CALD1		1	1	1049	<0.1%	No
CALM2		1	1	1049	<0.1%	No
SEPTIN2		2	2	1049	0.2%	No
ARHGEF28		2	2	1049	0.2%	Yes
KCNE4		1	1	1049	<0.1%	No
ZNF548		2	1	1049	<0.1%	No
IDH1		14	13	1021	1.3%	Yes
CNOT6L		1	1	1049	<0.1%	No
SLC25A42		1	1	1049	<0.1%	No
C11ORF16		1	1	1049	<0.1%	No
TNPO2		4	4	1049	0.4%	No
MAP1LC3B		1	1	1049	<0.1%	No
NEFM		1	1	1049	<0.1%	No
NWD1		1	1	1049	<0.1%	No
OR10H5		1	1	1049	<0.1%	No
CAMK4		2	2	1049	0.2%	No
CAMK2A		4	4	1049	0.4%	No
CAMK2D		1	1	1049	<0.1%	No
IDH2		3	3	1021	0.3%	Yes
CYP4F12		2	1	1049	<0.1%	No
TMEM108		1	1	1049	<0.1%	No
ZNF799		1	1	1049	<0.1%	No
CCDC137		1	1	1049	<0.1%	No
SAR1A		1	1	1049	<0.1%	No
CTU2		1	1	1049	<0.1%	No
UNC93B1		1	1	1049	<0.1%	No
WDR81		2	2	1049	0.2%	No
FAM186A		1	1	1049	<0.1%	No
MBD3L5		1	1	1049	<0.1%	No
IDH3G		1	1	1049	<0.1%	No
POLR2J3		1	1	1049	<0.1%	No
NEO1		1	1	1049	<0.1%	No
CAPN6		1	1	1049	<0.1%	No
NF2		4	4	1021	0.4%	Yes
MBD6		1	1	1049	<0.1%	Yes
CLEC18A		1	1	1049	<0.1%	No
GPRIN1		1	1	1049	<0.1%	No
CSMD3		6	6	1049	0.6%	No
RND1		1	1	1049	<0.1%	No
CAST		2	2	1049	0.2%	No
CAPZB		2	1	1049	<0.1%	No
ESRRA		4	3	1049	0.3%	No
NF1		6	6	1021	0.6%	Yes
ARMCX4		2	2	1049	0.2%	No
C1ORF167		3	2	1049	0.2%	No
CASP3		1	1	1049	<0.1%	No
MUCL3		1	1	1049	<0.1%	No
NFE2L2		3	3	998	0.3%	Yes
NFIB	0	5	5	291	1.7%	Yes
NFIX		2	2	1049	0.2%	No
SPHKAP		2	1	1049	<0.1%	No
ETV2		1	1	1049	<0.1%	No
IFNA13		1	1	1049	<0.1%	No
PKD1L2		1	1	1049	<0.1%	No
CASP7		1	1	1049	<0.1%	No
ETV1		1	1	998	0.1%	Yes
CASP8		6	6	995	0.6%	Yes
CSMD2		2	2	1049	0.2%	No
CASQ1		1	1	1049	<0.1%	No
NFATC4		1	1	1049	<0.1%	No
AZIN2		1	1	1049	<0.1%	No
LRP8		1	1	1049	<0.1%	No
NFKB2		2	2	196	1.0%	Yes
NFKBIA		2	2	970	0.2%	Yes
BOLL		1	1	1049	<0.1%	No
EWSR1		2	1	900	0.1%	Yes
TJAP1		1	1	1049	<0.1%	No
ULBP2		1	1	1049	<0.1%	No
PRR35		2	2	1049	0.2%	No
ADAM33		1	1	1049	<0.1%	No
RUNX2		1	1	196	0.5%	Yes
RUNX1	0	79	71	1049	6.8%	Yes
RUNX1T1		4	4	900	0.4%	Yes
ADCK5		2	2	1049	0.2%	No
CBFB		1	1	998	0.1%	Yes
CCSAP		1	1	1049	<0.1%	No
CBL		10	10	1021	1.0%	Yes
CBLN1		1	1	1049	<0.1%	No
SYNCRIP		2	2	1049	0.2%	No
IGFBP2		1	1	1049	<0.1%	No
F5		3	3	1049	0.3%	No
IGF2R		14	14	746	1.9%	No
IGF2		8	8	995	0.8%	Yes
IGF1R		28	26	1049	2.5%	Yes
SERPINH1		1	1	1049	<0.1%	No
IGF1		3	3	995	0.3%	Yes
EZH2		5	5	1021	0.5%	Yes
PALMD		1	1	1049	<0.1%	No
ENOX2		2	2	1049	0.2%	No
SLAMF1		1	1	1049	<0.1%	No
PXDN		1	1	1049	<0.1%	No
SLC4A3		1	1	1049	<0.1%	No
SLC1A3		1	1	1049	<0.1%	No
SLC4A2		1	1	1049	<0.1%	No
FAAH		1	1	1049	<0.1%	No
MRGPRD		1	1	1049	<0.1%	No
SYCP2L		2	2	1049	0.2%	No
F12		1	1	1049	<0.1%	No
LACTBL1		1	1	1049	<0.1%	No
BCOR	2.806e-9	119	109	998	10.9%	Yes
F10		1	1	1049	<0.1%	No
C8ORF74		1	1	1049	<0.1%	No
F8		3	2	1049	0.2%	No
RETSAT		6	4	1049	0.4%	No
PRSS55		1	1	1049	<0.1%	No
GSX1		1	1	1049	<0.1%	No
PAX8		1	1	1049	<0.1%	Yes
ACSM6		1	1	1049	<0.1%	No
LHX5		1	1	1049	<0.1%	No
FANCD2		16	16	900	1.8%	Yes
RNF208		1	1	1049	<0.1%	No
FANCC		11	10	998	1.0%	Yes
FANCA		22	22	1021	2.2%	Yes
SEMA4A		1	1	1049	<0.1%	No
PJA1		1	1	1049	<0.1%	No
INO80D		1	1	1049	<0.1%	No
CCND2		3	3	1021	0.3%	Yes
ALKBH5		1	1	1049	<0.1%	No
CASZ1		2	2	1049	0.2%	No
CCND3		2	2	1021	0.2%	Yes
SLC66A1		2	2	1049	0.2%	No
CCNE1		7	7	1021	0.7%	Yes
RNF43		16	16	998	1.6%	Yes
SLC5A1		1	1	1049	<0.1%	No
FAM47B		2	2	1049	0.2%	No
PXK		2	2	1049	0.2%	No
SMTN		1	1	1049	<0.1%	No
SLC9A6		1	1	1049	<0.1%	No
ACSL1		1	1	1049	<0.1%	No
ROBO3		1	1	1049	<0.1%	No
ATL2		1	1	1049	<0.1%	No
SLC8A2		1	1	1049	<0.1%	No
USP7		1	1	1049	<0.1%	No
HOXB13		4	4	793	0.5%	Yes
FANCF		2	2	900	0.2%	Yes
BPTF		1	1	1049	<0.1%	No
CCDC17		1	1	1049	<0.1%	No
NLRP6		1	1	1049	<0.1%	No
FANCE		15	15	900	1.7%	Yes
SEC23B		1	1	1049	<0.1%	No
TTL		2	2	196	1.0%	Yes
CYP26B1		1	1	1049	<0.1%	No
CAP1		1	1	1049	<0.1%	No
PAN3		1	1	1049	<0.1%	No
SLC2A9		1	1	1049	<0.1%	No
CHRDL1		1	1	1049	<0.1%	No
FBLN2		1	1	1049	<0.1%	No
FAT1		60	57	821	6.9%	Yes
FANCG		7	7	900	0.8%	Yes
PFKP		1	1	1049	<0.1%	No
CDK14		1	1	1049	<0.1%	No
ECI2		1	1	1049	<0.1%	No
KIAA2026		2	2	1049	0.2%	No
PGK2		1	1	1049	<0.1%	No
SLC16A1		1	1	1049	<0.1%	No
TACC3		1	1	1049	<0.1%	No
PLA2G2C		1	1	1049	<0.1%	No
BRD1		8	7	1049	0.7%	No
PGC		2	2	1049	0.2%	No
MERTK		16	16	723	2.2%	Yes
PGF		1	1	1049	<0.1%	No
SETD2		31	29	998	2.9%	Yes
PGR		2	2	263	0.8%	Yes
SLC19A1		1	1	920	0.1%	No
PDIA4		1	1	1049	<0.1%	No
SLC25A1		1	1	1049	<0.1%	No
PITPNM1		1	1	1049	<0.1%	No
NPAP1		1	1	1049	<0.1%	No
COL22A1		2	2	1049	0.2%	No
FAM200A		1	1	1049	<0.1%	No
OLFM1		1	1	1049	<0.1%	No
SLC34A1		1	1	1049	<0.1%	No
TMEM147		1	1	1049	<0.1%	No
RBM14		1	1	1049	<0.1%	No
SLC22A5		1	1	1049	<0.1%	No
PHF2		1	1	1049	<0.1%	No
SPATA31E1		2	2	1049	0.2%	No
SLIT3		2	2	1049	0.2%	No
NCOR2		3	3	196	1.5%	Yes
SLIT1		2	2	1049	0.2%	No
RIN1		1	1	1049	<0.1%	No
PHKB		1	1	1049	<0.1%	No
NCOR1		28	28	995	2.8%	Yes
SLCO2A1		1	1	1049	<0.1%	No
AP5S1		1	1	1049	<0.1%	No
RAB36		1	1	1049	<0.1%	No
BCCIP		1	1	1049	<0.1%	No
TUBB8		1	1	1049	<0.1%	No
SMARCA2		10	10	1049	1.0%	Yes
SMARCA4		27	27	1021	2.6%	Yes
ERVW-1		1	1	1049	<0.1%	No
SMARCC1		1	1	1049	<0.1%	No
SMARCB1		15	14	1021	1.4%	Yes
KLK4		1	1	1049	<0.1%	No
KCNIP3		1	1	1049	<0.1%	No
GDF6		1	1	1049	<0.1%	No
MFSD6L		1	1	1049	<0.1%	No
PHKG1		1	1	1049	<0.1%	No
PPP1R9B		2	2	1049	0.2%	No
NPIPB5		1	1	1049	<0.1%	No
TRAF4		1	1	1049	<0.1%	No
ACCS		1	1	1049	<0.1%	No
CLCA2		1	1	1049	<0.1%	No
TMEM132C		1	1	1049	<0.1%	No
ZNF318		1	1	1049	<0.1%	No
SLC9A7		2	2	1049	0.2%	No
TRIM55		2	2	1049	0.2%	No
RSF1		1	1	1049	<0.1%	No
SNCAIP		3	3	723	0.4%	Yes
SOX8		1	1	1049	<0.1%	No
KLHL24		1	1	1049	<0.1%	No
IKBKE		4	3	1021	0.3%	Yes
POM121L2		1	1	1049	<0.1%	No
MUC16		8	8	1049	0.8%	No
PIK3C2B		8	8	723	1.1%	Yes
BAP1		30	27	1049	2.6%	Yes
PIK3C2G		24	23	995	2.3%	Yes
PIK3C3		8	8	995	0.8%	Yes
AXIN1		6	6	824	0.7%	Yes
GOLGA6A		1	1	1049	<0.1%	No
KNL1		1	1	1049	<0.1%	Yes
REPIN1		1	1	1049	<0.1%	No
ACOX2		1	1	1049	<0.1%	No
PIK3CG		11	11	1021	1.1%	Yes
FZD1		1	1	1049	<0.1%	No
PIK3R1		55	49	1021	4.8%	Yes
PIK3R2		11	11	998	1.1%	Yes
CASS4		2	2	1049	0.2%	No
PLCH2		1	1	1049	<0.1%	No
MDC1		1	1	291	0.3%	Yes
PIK3CA	2.653e-4	56	54	1049	5.1%	Yes
PIK3CB		3	3	821	0.4%	Yes
PIM1		2	2	294	0.7%	Yes
SLCO1B7		1	1	1049	<0.1%	No
